,Time,Point Forecasts,Variance Forecasts
0,2024-05-23 01:00:00,6455.474030811711,743433.2241984721
1,2024-05-23 02:00:00,6258.3106284257965,707940.3983941195
2,2024-05-23 03:00:00,5999.185053093576,685115.0171926719
3,2024-05-23 04:00:00,5708.359986929817,667678.05370289
4,2024-05-23 05:00:00,5421.820815574723,650738.3998573809
5,2024-05-23 06:00:00,5167.3370823043015,633831.5304882999
6,2024-05-23 07:00:00,4964.707050900513,617734.3244363929
7,2024-05-23 08:00:00,4836.9409429646585,601093.6703449527
8,2024-05-23 09:00:00,4815.463305269909,581422.7450171531
9,2024-05-23 10:00:00,4926.744367257002,559411.9738185436
10,2024-05-23 11:00:00,5167.267869857842,541104.1507432789
11,2024-05-23 12:00:00,5489.337823911666,534259.9343018308
12,2024-05-23 13:00:00,5815.184569125684,541528.3120226238
13,2024-05-23 14:00:00,6073.86604628148,557177.0091997662
14,2024-05-23 15:00:00,6235.124434885953,571380.0729396115
15,2024-05-23 16:00:00,6315.734063644549,578689.1102701707
16,2024-05-23 17:00:00,6356.199005346145,582646.3246322642
17,2024-05-23 18:00:00,6388.835557955736,591581.8015411174
18,2024-05-23 19:00:00,6421.897060932212,608960.6035082311
19,2024-05-23 20:00:00,6446.804783368083,627278.1879136957
20,2024-05-23 21:00:00,6454.591126608593,631771.1469990688
21,2024-05-23 22:00:00,6442.865107895356,611374.8689342863
22,2024-05-23 23:00:00,6408.51637892353,567627.8679568062
23,2024-05-24 00:00:00,6338.209393670889,513921.55609586125
24,2024-05-24 01:00:00,6211.043002651381,466006.29689965764
25,2024-05-24 02:00:00,6013.981954317817,432028.3428186303
26,2024-05-24 03:00:00,5755.987469301123,409950.7874020415
27,2024-05-24 04:00:00,5466.96831858813,392922.98466335016
28,2024-05-24 05:00:00,5182.67998268842,376275.599893739
29,2024-05-24 06:00:00,4930.717312552958,359683.51324042917
30,2024-05-24 07:00:00,4730.733509261912,344028.6117648635
31,2024-05-24 08:00:00,4605.611046299991,328046.9106212803
32,2024-05-24 09:00:00,4586.657158660504,309331.80794097285
33,2024-05-24 10:00:00,4700.231257342026,288647.44164174865
34,2024-05-24 11:00:00,4942.710664231062,272104.3713213131
35,2024-05-24 12:00:00,5266.296512127255,267524.90446753474
36,2024-05-24 13:00:00,5593.119783451362,277613.11368420674
37,2024-05-24 14:00:00,5852.143127129889,296684.7142771282
38,2024-05-24 15:00:00,6013.018414247941,314954.12080112816
39,2024-05-24 16:00:00,6092.435801577153,327005.2046279069
40,2024-05-24 17:00:00,6130.822612890497,336403.9206960753
41,2024-05-24 18:00:00,6160.427163608445,351495.26898230915
42,2024-05-24 19:00:00,6189.444918775192,375750.16057330085
43,2024-05-24 20:00:00,6209.250674209663,401660.70862193423
44,2024-05-24 21:00:00,6210.842965790061,414450.9475818252
45,2024-05-24 22:00:00,6191.810642426561,403034.5818493136
46,2024-05-24 23:00:00,6149.037830892084,368919.51217143354
47,2024-05-25 00:00:00,6069.198885567146,325457.9109926659
48,2024-05-25 01:00:00,5931.418582809722,288352.6842506998
49,2024-05-25 02:00:00,5722.704026578874,265694.9168671201
50,2024-05-25 03:00:00,5452.075420356509,255385.42736432533
